1445914,8262,WH1,ME-107-01-A-30,366658,ЭКС,57,2026-03-24 08:46:34,2026-03-24 13:14:04,2026-03-24 13:13:56,a.habibov,Y,0.00000,1.00000,3845311,Y,,,,,,,,0.00000,0.00000,USER2249,CCP_InsertCCRequest,2026-03-24 08:46:34,"Наконечник штыревой втулочный изолир. НШвИ 4,0-12 (КВТ)_уп100шт",Closed,,,,N,,,N,a.habibov,
1445915,8262,WH1,ME-102-04-B-50,422642,ЭКС,57,2026-03-24 08:51:01,2026-03-24 13:12:54,2026-03-24 13:12:47,a.habibov,Y,0.00000,2.00000,3845318,Y,,,,,,,,0.00000,0.00000,USER2359,CCP_InsertCCRequest,2026-03-24 08:51:01,"Строительно-монтажная клемма СМК 222-422 проходная 2 полюса 0,08-4мм2 (25шт.) EKF PROxima",Closed,,,,N,,,N,a.habibov,
1445916,8262,WH1,ME-109-05-A-30,395753,ЭКС,57,2026-03-24 09:59:08,2026-03-24 13:14:41,2026-03-24 13:14:35,a.habibov,Y,0.00000,1.00000,3845477,Y,,,,,,,,0.00000,0.00000,user2345,CCP_InsertCCRequest,2026-03-24 09:59:08,Сальник PG21 IP54 d отверс. (27мм.) d проводника 13-18мм EKF PROxima,Closed,,,,N,,,N,a.habibov,
1445917,8262,WH1,KP-01-20-01,162112,ЭКС,57,2026-03-24 10:01:06,2026-03-24 12:48:57,2026-03-24 12:48:57,a.habibov,N,49.00000,49.00000,3845484,Y,,,,,,,,0.00000,0.00000,d.mavrin,CCP_InsertCCRequest,2026-03-24 10:01:06,"Кабель ВВГнг(A)-LS 5х1,5 ок(N,PE)-0,66 Кабэкс",Closed,OTR02095167,,,N,OTR02095167,BAR02047116,,,
1445918,8262,WH1,KSP-101,152718,ЭКС,57,2026-03-24 10:48:56,2026-03-24 12:47:47,2026-03-24 12:47:47,a.habibov,N,0.00000,0.00000,3845588,Y,,,,,,,,0.00000,0.00000,USER2354,CCP_InsertCCRequest,2026-03-24 10:48:56,"Кабель КГ-ХЛ 3х2,5-220/380В-3",Closed,OTR02093343,,,N,OTR02093343,BAR02026223,,,
1445919,8262,WH1,KSP-101,152718,ЭКС,57,2026-03-24 10:48:56,2026-03-24 12:47:50,2026-03-24 12:47:50,a.habibov,N,2.00000,2.00000,3845588,Y,,,,,,,,0.00000,0.00000,USER2354,CCP_InsertCCRequest,2026-03-24 10:48:56,"Кабель КГ-ХЛ 3х2,5-220/380В-3",Closed,OTR02093460,,,N,OTR02093460,BAR02026321,,,
1445920,8262,WH1,KSP-100,167529,ЭКС,57,2026-03-24 11:10:28,2026-03-24 12:53:46,2026-03-24 12:53:46,a.habibov,N,21.00000,21.00000,3845636,Y,,,,,,,,0.00000,0.00000,USER2354,CCP_InsertCCRequest,2026-03-24 11:10:28,"Кабель ППГнг(A)-HF 3х6 ок(N,PE)-0,66 Кабэкс",Closed,OTR02093527,,,N,OTR02093527,BAR02026387,,,
1445921,8262,WH1,KSP-106,302033,ЭКС,58,2026-03-24 13:05:31,2026-03-24 13:24:18,2026-03-24 13:24:18,a.habibov,N,5.00000,5.00000,3845969,Y,,,,,,,,0.00000,0.00000,d.mavrin,CCP_InsertCCRequest,2026-03-24 13:05:31,"Кабель АВВГнг(А)-LS 5х35 мк (N,РЕ)-0,66",Closed,OTR02079520,,,N,OTR02079520,BAR02045408,,,
1445922,8262,WH1,KSP-101,373604,ЭКС,58,2026-03-24 14:48:47,2026-03-24 16:14:09,2026-03-24 16:14:09,a.habibov,N,14.00000,14.00000,3846179,Y,,,,,,,,0.00000,0.00000,d.mavrin,CCP_InsertCCRequest,2026-03-24 14:48:47,Провод ПуГВнг(А)-LS 1х10,Closed,OTR02093639,,,N,OTR02093639,BAR02026496,,,
1445923,8262,WH1,ME-116-03-D-20,749559,ЭКС,58,2026-03-24 14:56:36,2026-03-24 16:32:26,2026-03-24 16:32:21,a.habibov,Y,0.00000,4.00000,3846197,Y,,,,,,,,0.00000,0.00000,user2345,CCP_InsertCCRequest,2026-03-24 14:56:36,Гильза медная луженая  ГМЛ 10-5 PLEXUP,Closed,,,,N,,,N,a.habibov,
1445924,8262,WH1,ZX-14-23-A-10,627941,ЭКС,58,2026-03-24 15:25:45,2026-03-24 16:28:49,2026-03-24 16:28:49,a.habibov,N,1.00000,1.00000,3846305,Y,,,,,,,,0.00000,0.00000,USER2348,CCP_InsertCCRequest,2026-03-24 15:25:45,Светильник светодиодный ЭРА SPO-960-3-40K-062 62Вт 4000К 6720Лм 1195x595x40 матовый,Closed,,,,N,,,,,
1445925,8262,WH1,ZX-07-13-C-20,744761,ЭКС,58,2026-03-24 16:17:17,2026-03-24 16:27:48,2026-03-24 16:27:43,a.habibov,Y,0.00000,1.00000,3846465,Y,,,,,,,,0.00000,0.00000,USER2285,CCP_InsertCCRequest,2026-03-24 16:17:17,БУМАГА А4 500 МАРАФОН СТАНДАРТ 80 /5/   1 упак. = 5 шт.,Closed,,,,N,,,N,a.habibov,
1445926,8262,WH1,NG-46,768986,ЭКС,58,2026-03-24 16:22:03,2026-03-24 16:26:53,2026-03-24 16:26:46,a.habibov,Y,0.00000,2.00000,3846482,Y,,,,,,,,0.00000,0.00000,USER2348,CCP_InsertCCRequest,2026-03-24 16:22:03,Кабель-канал  40х25 с двойным замком белый (50м) PLEXUP Т,Closed,,,,N,,,N,a.habibov,
1445927,8262,WH1,KSP-105,152715,ЭКС,58,2026-03-24 16:28:19,2026-03-24 19:13:11,2026-03-24 19:13:11,a.habibov,N,4.00000,4.00000,3846498,Y,,,,,,,,0.00000,0.00000,d.mavrin,CCP_InsertCCRequest,2026-03-24 16:28:19,"Кабель КГ-ХЛ 2х1,5-220/380В-3",Closed,OTR02093566,,,N,OTR02093566,BAR02026424,,,
1445928,8262,WH1,KSP-106,196129,ЭКС,58,2026-03-24 16:34:39,2026-03-24 18:17:56,2026-03-24 18:17:56,a.habibov,N,11.00000,11.00000,3846522,Y,,,,,,,,0.00000,0.00000,d.mavrin,CCP_InsertCCRequest,2026-03-24 16:34:39,"Кабель ВБШвнг(A)-LS 4х25 мк(N)-0,66",Closed,OTR02098315,,,N,OTR02098315,BAR02029175,,,
1445929,8262,WH1,KSP-114,217229,ЭКС,58,2026-03-24 17:26:33,2026-03-24 18:48:14,2026-03-24 18:48:14,a.habibov,N,17.00000,17.00000,3846611,Y,,,,,,,,0.00000,0.00000,USER2354,CCP_InsertCCRequest,2026-03-24 17:26:33,"Кабель ВВГ-Пнг(A)-LS 3х10 ок(N,PE)-0,66 Кабэкс",Closed,OTR02079223,,,N,OTR02079223,BAR02045141,,,
1445930,8262,WH1,KSP-144,364,ЭКС,58,2026-03-24 17:28:08,2026-03-24 19:01:28,2026-03-24 19:01:28,a.habibov,N,10.00000,10.00000,3846614,Y,,,,,,,,0.00000,0.00000,d.mavrin,CCP_InsertCCRequest,2026-03-24 17:28:08,"Кабель МКЭШ 5х0,5 Белкаб",Closed,OTR02095050,,,N,OTR02095050,BAR02047026,,,
1445931,8262,WH1,ME-116-04-A-50,617469,ЭКС,59,2026-03-24 17:36:00,2026-03-24 20:45:08,2026-03-24 20:44:55,a.habibov,Y,0.00000,2.00000,3846621,Y,,,,,,,,0.00000,0.00000,USER2249,CCP_InsertCCRequest,2026-03-24 17:36:00,Коробка установочная углубленная 80-0510С безгалогенная (HF) 68х62 с саморезами красная Промрукав,Closed,,,,N,,,N,a.habibov,
1445932,8262,WH1,KP-01-05-04,831050,ЭКС,59,2026-03-24 17:52:08,2026-03-24 20:08:20,2026-03-24 20:08:20,a.habibov,N,7.00000,7.00000,3846640,Y,,,,,,,,0.00000,0.00000,USER2325,CCP_InsertCCRequest,2026-03-24 17:52:08,"Кабель ВВГ-Пнг(A)-FR-LS 3х2,5 ок(N,PE)-0,66 Промэко",Closed,OTR02079705,,,N,OTR02079705,BAR02045566,,,
1445933,8262,WH1,ME-101-08-D-50,808694,ЭКС,59,2026-03-25 13:26:33,,,,,0.00000,,3846911,Y,,,,,,,,0.00000,0.00000,USER1286,CCP_InsertCCRequest,2026-03-25 13:26:33,"DKC Лента изоляционная ПВХ 19x0,15 20м в рулоне Желтая",Open,,,,N,,,,,
